Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"Con_A","OffPage","PAGE1","1","SCHEMATIC1","U1A.1,U1B.4","125","150","5D","1"
"Con_A","OffPage","PAGE1","1","SCHEMATIC1","U1A.1,U1B.4","125","65","5D","1"
"Con_B","OffPage","PAGE1","1","SCHEMATIC1","U1B.5","125","170","5D","2,3"
"Con_B","OffPage","PAGE2","2","SCHEMATIC1","U2B.3","115","195","5D","1,3"
"Con_B","OffPage","PAGE3","3","SCHEMATIC1","U3B.15","120","235","5C","1,2"
"Con_C","OffPage","PAGE2","2","SCHEMATIC1","U2A.1","115","85","5D","3"
"Con_C","OffPage","PAGE3","3","SCHEMATIC1","U3A.1,U3A.16","120","90","5D","2,3"
"Con_C","OffPage","PAGE3","3","SCHEMATIC1","U3A.1,U3A.16","120","110","5D","2,3"
